date,amount,kind,description,canon,score
12/12/2025,-500.0,TEXT,Banking App External Payment: Tenacity Financial S Store Account,banking app external tenacity financial s store account,56
12/12/2025,-500.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
12/12/2025,-300.0,TABLE,Banking App External Payment: Truworths And Uzzi Clothing & Shoes,banking app external truworths and uzzi clothing shoes,56
12/12/2025,-300.0,TEXT,Banking App External Payment: Jet Store Card Uncategorised,banking app external jet store card uncategorised,51
12/12/2025,-300.0,TEXT,Banking App External Payment: Truworths And Uzzi Clothing & Shoes,banking app external truworths and uzzi clothing shoes,56
12/12/2025,-200.0,TABLE,Banking App External Payment: St Davids Anglican Uncategorised,banking app external st davids anglican uncategorised,55
12/12/2025,-200.0,TABLE,Banking App External Payment: Ilizell Dettmer Uncategorised,banking app external ilizell dettmer uncategorised,53
12/12/2025,-200.0,TEXT,Banking App External Payment: St Davids Anglican Uncategorised,banking app external st davids anglican uncategorised,55
12/12/2025,-200.0,TEXT,Banking App External Payment: Ilizell Dettmer Uncategorised,banking app external ilizell dettmer uncategorised,53
12/12/2025,-2.8,TABLE,SMS Notification Fee: 8 notification(s) Fees (Fee),sms notification fee notification s fees,47
12/12/2025,-2.8,TEXT,SMS Notification Fee: 8 notification(s) Fees,sms notification fee notification s fees,42
12/12/2025,-2.0,TABLE,Banking App External Payment: Gems Medical Aid (Fee),banking app external gems medical aid,45
12/12/2025,-2.0,TABLE,Banking App External Payment: Truworths And Uzzi Clothing & Shoes (Fee),banking app external truworths and uzzi clothing shoes,61
12/12/2025,-2.0,TABLE,Banking App External Payment: St Davids Anglican Uncategorised (Fee),banking app external st davids anglican uncategorised,60
12/12/2025,-2.0,TABLE,Banking App External Payment: Ilizell Dettmer Uncategorised (Fee),banking app external ilizell dettmer uncategorised,58
12/12/2025,-2.0,TEXT,Banking App External Payment: Gems Medical Aid,banking app external gems medical aid,40
12/12/2025,-2.0,TEXT,Banking App External Payment: Jet Store Card Uncategorised,banking app external jet store card uncategorised,51
12/12/2025,-2.0,TEXT,Banking App External Payment: Truworths And Uzzi Clothing & Shoes,banking app external truworths and uzzi clothing shoes,56
12/12/2025,-2.0,TEXT,Banking App External Payment: Tenacity Financial S Store Account,banking app external tenacity financial s store account,56
12/12/2025,-2.0,TEXT,Banking App External Payment: St Davids Anglican Uncategorised,banking app external st davids anglican uncategorised,55
12/12/2025,-2.0,TEXT,Banking App External Payment: Ilizell Dettmer Uncategorised,banking app external ilizell dettmer uncategorised,53
13/12/2025,-200.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
13/12/2025,-200.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
13/12/2025,-0.7,TABLE,SMS Notification Fee: 2 notification(s) Fees (Fee),sms notification fee notification s fees,47
13/12/2025,-0.7,TEXT,SMS Notification Fee: 2 notification(s) Fees,sms notification fee notification s fees,42
14/12/2025,-4000.0,TABLE,Banking App Transfer to Noah Party: Transfer,banking app to noah party,38
14/12/2025,-4000.0,TEXT,Banking App Transfer to Noah Party: Transfer Transfer,banking app to noah party,46
14/12/2025,-500.0,TABLE,"Banking App External Payment: Tenacity Financial S Store Account 
Payments",banking app external tenacity financial s store account,64
14/12/2025,-500.0,TEXT,Banking App External Payment: Tenacity Financial S Store Account,banking app external tenacity financial s store account,56
14/12/2025,-2.0,TABLE,"Banking App External Payment: Tenacity Financial S Store Account 
Payments (Fee)",banking app external tenacity financial s store account,69
14/12/2025,-2.0,TEXT,Banking App External Payment: Tenacity Financial S Store Account,banking app external tenacity financial s store account,56
14/12/2025,-1.75,TABLE,SMS Notification Fee: 5 notification(s) Fees (Fee),sms notification fee notification s fees,47
14/12/2025,-1.75,TEXT,SMS Notification Fee: 5 notification(s) Fees,sms notification fee notification s fees,42
15/10/2025,-1.05,TABLE,SMS Notification Fee: 3 notification(s) Fees (Fee),sms notification fee notification s fees,47
15/10/2025,-1.05,TEXT,SMS Notification Fee: 3 notification(s) Fees,sms notification fee notification s fees,42
15/11/2025,-0.35,TABLE,SMS Notification Fee: 1 notification(s) Fees (Fee),sms notification fee notification s fees,47
15/11/2025,-0.35,TEXT,SMS Notification Fee: 1 notification(s) Fees,sms notification fee notification s fees,42
15/11/2025,191.05,TABLE,Banking App Transfer from Live Better Savings Account (2234100670),banking app from live better savings account,61
15/11/2025,191.05,TEXT,Banking App Transfer from Live Better Savings Account  Transfer,banking app from live better savings account,54
15/12/2025,-25.0,TABLE,Banking App Prepaid Purchase: Cell C Cellphone,banking app prepaid purchase cell c cellphone,40
15/12/2025,-25.0,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
15/12/2025,-25.0,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
15/12/2025,-0.5,TABLE,Banking App Prepaid Purchase: Cell C Cellphone (Fee),banking app prepaid purchase cell c cellphone,45
15/12/2025,-0.5,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
15/12/2025,-0.5,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
17/12/2025,-25.0,TABLE,Banking App Prepaid Purchase: Cell C Cellphone,banking app prepaid purchase cell c cellphone,40
17/12/2025,-25.0,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
17/12/2025,-0.5,TABLE,Banking App Prepaid Purchase: Cell C Cellphone (Fee),banking app prepaid purchase cell c cellphone,45
17/12/2025,-0.5,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
19/11/2025,200.0,TABLE,Payment Received: Jess Payment 2799839095 Other Income,received jess other income,51
19/11/2025,200.0,TEXT,Payment Received: Wanda Transfer 2799331923 Other Income,received wanda other income,53
19/11/2025,200.0,TEXT,Payment Received: Jess Payment 2799839095 Other Income,received jess other income,51
19/12/2025,-25.0,TABLE,Banking App Prepaid Purchase: Cell C Cellphone,banking app prepaid purchase cell c cellphone,40
19/12/2025,-25.0,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
19/12/2025,-0.7,TABLE,SMS Notification Fee: 2 notification(s) Fees (Fee),sms notification fee notification s fees,47
19/12/2025,-0.7,TEXT,SMS Notification Fee: 2 notification(s) Fees,sms notification fee notification s fees,42
19/12/2025,-0.5,TABLE,Banking App Prepaid Purchase: Cell C Cellphone (Fee),banking app prepaid purchase cell c cellphone,45
19/12/2025,-0.5,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
20/10/2025,-1606.0,TABLE,Banking App External Payment: Gems Medical Aid,banking app external gems medical aid,40
20/10/2025,-1606.0,TEXT,Banking App External Payment: Gems Medical Aid,banking app external gems medical aid,40
20/10/2025,-822.2,TABLE,Eft Debit Order (2735344414): Vodacom 04 (70073389 I8547),eft debit order vodacom i,62
20/10/2025,-822.2,TEXT,Eft Debit Order (2735344414): Vodacom 04 (70073389  Cellphone,eft debit order vodacom cellphone,62
20/10/2025,-300.0,TABLE,Banking App External Payment: Truworths And Uzzi Clothing & Shoes,banking app external truworths and uzzi clothing shoes,56
20/10/2025,-300.0,TEXT,Banking App External Payment: Jet Store Card Uncategorised,banking app external jet store card uncategorised,51
20/10/2025,-300.0,TEXT,Banking App External Payment: Truworths And Uzzi Clothing & Shoes,banking app external truworths and uzzi clothing shoes,56
20/10/2025,-200.0,TABLE,Banking App External Payment: Karen Botha Uncategorised,banking app external karen botha uncategorised,49
20/10/2025,-200.0,TABLE,Banking App External Payment: St Davids Anglican Uncategorised,banking app external st davids anglican uncategorised,55
20/10/2025,-200.0,TEXT,Banking App External Payment: Karen Botha Uncategorised,banking app external karen botha uncategorised,49
20/10/2025,-200.0,TEXT,Banking App External Payment: St Davids Anglican Uncategorised,banking app external st davids anglican uncategorised,55
20/10/2025,-74.0,TABLE,Immediate Capitec Pay Payment: Assessment911 (PAYFAST*ASSESSMENT91) Digital Payments,immediate capitec assessment assessment digital,83
20/10/2025,-74.0,TEXT,Immediate Capitec Pay Payment: Assessment911  Digital Payments,immediate capitec assessment digital,58
20/10/2025,-3.0,TEXT,DebiCheck Debit Order (2733625678): Nedabf/mfc  Loan Payments,debicheck debit order nedabf mfc loan,57
20/10/2025,-3.0,TEXT,Eft Debit Order (2735344414): Vodacom 04 (70073389  Cellphone,eft debit order vodacom cellphone,62
20/10/2025,-2.0,TABLE,Banking App External Payment: Karen Botha Uncategorised (Fee),banking app external karen botha uncategorised,54
20/10/2025,-2.0,TABLE,Banking App External Payment: St Davids Anglican Uncategorised (Fee),banking app external st davids anglican uncategorised,60
20/10/2025,-2.0,TABLE,Banking App External Payment: Truworths And Uzzi Clothing & Shoes (Fee),banking app external truworths and uzzi clothing shoes,61
20/10/2025,-2.0,TABLE,Banking App External Payment: Gems Medical Aid (Fee),banking app external gems medical aid,45
20/10/2025,-2.0,TEXT,Banking App External Payment: Karen Botha Uncategorised,banking app external karen botha uncategorised,49
20/10/2025,-2.0,TEXT,Banking App External Payment: St Davids Anglican Uncategorised,banking app external st davids anglican uncategorised,55
20/10/2025,-2.0,TEXT,Banking App External Payment: Jet Store Card Uncategorised,banking app external jet store card uncategorised,51
20/10/2025,-2.0,TEXT,Banking App External Payment: Truworths And Uzzi Clothing & Shoes,banking app external truworths and uzzi clothing shoes,56
20/10/2025,-2.0,TEXT,Banking App External Payment: Tenacity Financial S Store Account,banking app external tenacity financial s store account,56
20/10/2025,-2.0,TEXT,Banking App External Payment: Gems Medical Aid,banking app external gems medical aid,40
20/10/2025,-2.0,TEXT,Banking App External Payment: Mini-minors Educare Uncategorised,banking app external mini minors educare uncategorised,57
20/10/2025,-1.0,TABLE,Immediate Capitec Pay Payment: Assessment911 (PAYFAST*ASSESSMENT91) Digital Payments (Fee),immediate capitec assessment assessment digital,88
20/10/2025,-1.0,TEXT,Immediate Capitec Pay Payment: Assessment911  Digital Payments,immediate capitec assessment digital,58
20/10/2025,-1.0,TEXT,Banking App Immediate Payment: Chris Salary,banking app immediate chris salary,38
20/10/2025,17271.92,TABLE,Payment Received: Anpersald5 D5 Pay5952877000470salary 2734882003 Salary,received anpersald d salary,78
20/10/2025,17271.92,TEXT,Payment Received: Anpersald5 D5  Salary,received anpersald d salary,40
20/11/2025,-2100.0,TABLE,Banking App External Payment: Mini-minors Educare Uncategorised,banking app external mini minors educare uncategorised,57
20/11/2025,-2100.0,TEXT,Banking App External Payment: Mini-minors Educare Uncategorised,banking app external mini minors educare uncategorised,57
20/11/2025,-822.2,TABLE,Eft Debit Order (2798121122): Vodacom 04 (72127785 I8547) Cellphone,eft debit order vodacom i cellphone,71
20/11/2025,-822.2,TEXT,Eft Debit Order (2798121122): Vodacom 04 (72127785  Cellphone,eft debit order vodacom cellphone,62
20/11/2025,-500.0,TABLE,"Banking App External Payment: Tenacity Financial S Store Account 
Payments",banking app external tenacity financial s store account,64
20/11/2025,-500.0,TEXT,Banking App External Payment: Tenacity Financial S Store Account,banking app external tenacity financial s store account,56
20/11/2025,-300.0,TABLE,Banking App External Payment: Jet Store Card Uncategorised,banking app external jet store card uncategorised,51
20/11/2025,-300.0,TEXT,Banking App External Payment: Truworths And Uzzi Clothing & Shoes,banking app external truworths and uzzi clothing shoes,56
20/11/2025,-300.0,TEXT,Banking App External Payment: Jet Store Card Uncategorised,banking app external jet store card uncategorised,51
20/11/2025,-4.2,TABLE,SMS Notification Fee: 12 notification(s) Fees (Fee),sms notification fee notification s fees,48
20/11/2025,-4.2,TEXT,SMS Notification Fee: 12 notification(s) Fees,sms notification fee notification s fees,43
20/11/2025,-3.0,TABLE,Eft Debit Order (2798121122): Vodacom 04 (72127785 I8547) Cellphone (Fee),eft debit order vodacom i cellphone,76
20/11/2025,-3.0,TEXT,DebiCheck Debit Order (2798678262): Nedabf/mfc  Loan Payments,debicheck debit order nedabf mfc loan,57
20/11/2025,-3.0,TEXT,Eft Debit Order (2798121122): Vodacom 04 (72127785  Cellphone,eft debit order vodacom cellphone,62
20/11/2025,-2.0,TABLE,Banking App External Payment: Mini-minors Educare Uncategorised (Fee),banking app external mini minors educare uncategorised,62
20/11/2025,-2.0,TABLE,"Banking App External Payment: Tenacity Financial S Store Account 
Payments (Fee)",banking app external tenacity financial s store account,69
20/11/2025,-2.0,TABLE,Banking App External Payment: Jet Store Card Uncategorised (Fee),banking app external jet store card uncategorised,56
20/11/2025,-2.0,TEXT,Banking App External Payment: Mini-minors Educare Uncategorised,banking app external mini minors educare uncategorised,57
20/11/2025,-2.0,TEXT,Banking App External Payment: Gems Medical Aid,banking app external gems medical aid,40
20/11/2025,-2.0,TEXT,Banking App External Payment: Tenacity Financial S Store Account,banking app external tenacity financial s store account,56
20/11/2025,-2.0,TEXT,Banking App External Payment: Truworths And Uzzi Clothing & Shoes,banking app external truworths and uzzi clothing shoes,56
20/11/2025,-2.0,TEXT,Banking App External Payment: Jet Store Card Uncategorised,banking app external jet store card uncategorised,51
20/11/2025,-2.0,TEXT,Banking App External Payment: St Davids Anglican Uncategorised,banking app external st davids anglican uncategorised,55
20/11/2025,200.0,TABLE,Payment Received: R Kersop Other Income,received r kersop other income,34
20/11/2025,200.0,TEXT,Payment Received: R Kersop Other Income,received r kersop other income,34
20/11/2025,200.0,TEXT,Payment Received: Karen Payment 2801608821 Other Income,received karen other income,52
20/11/2025,17271.91,TABLE,Payment Received: Anpersald5 D5 Pay5952877000470salary 2797713063 Salary,received anpersald d salary,78
20/11/2025,17271.91,TEXT,Payment Received: Anpersald5 D5  Salary,received anpersald d salary,40
20/12/2025,-500.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
20/12/2025,-500.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
20/12/2025,-393.06,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
20/12/2025,-393.06,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
21/11/2025,200.0,TABLE,Payment Received: Ilizell Payday Delux Transfer 2804810943 Other Income,received ilizell delux other income,66
21/11/2025,200.0,TEXT,Payment Received: Ilizell Payday Delux Transfer 2804810943Other Income,received ilizell delux other income,66
21/12/2025,-5.0,TABLE,Banking App Prepaid Purchase: Cell C Cellphone,banking app prepaid purchase cell c cellphone,40
21/12/2025,-5.0,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
21/12/2025,-0.5,TABLE,Banking App Prepaid Purchase: Cell C Cellphone (Fee),banking app prepaid purchase cell c cellphone,45
21/12/2025,-0.5,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
22/12/2025,-0.35,TABLE,SMS Notification Fee: 1 notification(s) Fees (Fee),sms notification fee notification s fees,47
22/12/2025,-0.35,TEXT,SMS Notification Fee: 1 notification(s) Fees,sms notification fee notification s fees,42
23/12/2025,-300.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
23/12/2025,-300.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
23/12/2025,-300.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
23/12/2025,-0.7,TABLE,SMS Notification Fee: 2 notification(s) Fees (Fee),sms notification fee notification s fees,47
23/12/2025,-0.7,TEXT,SMS Notification Fee: 2 notification(s) Fees,sms notification fee notification s fees,42
24/11/2025,-1500.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
24/11/2025,-1500.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
24/12/2025,-0.35,TABLE,SMS Notification Fee: 1 notification(s) Fees (Fee),sms notification fee notification s fees,47
24/12/2025,-0.35,TEXT,SMS Notification Fee: 1 notification(s) Fees,sms notification fee notification s fees,42
25/10/2025,-2500.0,TABLE,Banking App Immediate Payment: Judy Digital Payments,banking app immediate judy digital,46
25/10/2025,-2500.0,TEXT,Banking App Immediate Payment: Judy Digital Payments,banking app immediate judy digital,46
25/10/2025,-561.87,TABLE,DebiCheck Debit Order (2746138131): Mobicred (1000744994.1) Uncategorised,debicheck debit order mobicred uncategorised,76
25/10/2025,-561.87,TEXT,DebiCheck Debit Order (2746138131): Mobicred  Uncategorised,debicheck debit order mobicred uncategorised,56
25/10/2025,-3.0,TABLE,DebiCheck Debit Order (2746138131): Mobicred (1000744994.1) Uncategorised (Fee),debicheck debit order mobicred uncategorised,81
25/10/2025,-3.0,TEXT,DebiCheck Debit Order (2746138131): Mobicred  Uncategorised,debicheck debit order mobicred uncategorised,56
25/10/2025,-1.0,TABLE,Banking App Immediate Payment: Judy Digital Payments (Fee),banking app immediate judy digital,51
25/10/2025,-1.0,TEXT,Banking App Immediate Payment: Judy Digital Payments,banking app immediate judy digital,46
25/11/2025,6000.0,TABLE,Payment Received: Rtc 051j9gm7gp Christopher Mcpherso,received j gm gp christopher mcpherso,57
25/11/2025,6000.0,TEXT,Payment Received: Rtc 051j9gm7gp Christopher Mcpherso Payment Received,received j gm gp christopher mcpherso received,72
26/10/2025,-1000.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
26/10/2025,-1000.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
26/10/2025,-1000.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
26/10/2025,-1.4,TABLE,SMS Notification Fee: 4 notification(s) Fees (Fee),sms notification fee notification s fees,47
26/10/2025,-1.4,TEXT,SMS Notification Fee: 4 notification(s) Fees,sms notification fee notification s fees,42
26/10/2025,200.0,TABLE,Payment Received: J Van Der Bergh Other Income,received j van der bergh other income,39
26/10/2025,200.0,TEXT,Payment Received: J Van Der Bergh Other Income,received j van der bergh other income,39
26/11/2025,-3000.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
26/11/2025,-3000.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
27/10/2025,-500.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
27/10/2025,-500.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
28/11/2025,-1300.0,TABLE,Banking App Immediate Payment: Chris Digital Payments,banking app immediate chris digital,47
28/11/2025,-1300.0,TEXT,Banking App Immediate Payment: Chris Digital Payments,banking app immediate chris digital,47
28/11/2025,-1.4,TABLE,SMS Notification Fee: 4 notification(s) Fees (Fee),sms notification fee notification s fees,47
28/11/2025,-1.4,TEXT,SMS Notification Fee: 4 notification(s) Fees,sms notification fee notification s fees,42
28/11/2025,-1.0,TABLE,Banking App Immediate Payment: Chris Digital Payments (Fee),banking app immediate chris digital,52
28/11/2025,-1.0,TEXT,Banking App Immediate Payment: Chris Digital Payments,banking app immediate chris digital,47
28/11/2025,600.0,TABLE,Payment Received: J Van Der Bergh Other Income,received j van der bergh other income,39
28/11/2025,600.0,TEXT,Payment Received: J Van Der Bergh Other Income,received j van der bergh other income,39
29/11/2025,-800.0,TABLE,Banking App Transfer to Credit Card: Transfer,banking app to credit card,39
29/11/2025,-800.0,TEXT,Banking App Transfer to Credit Card: Transfer Transfer,banking app to credit card,47
30/11/2025,-12.0,TABLE,Banking App Prepaid Purchase: Cell C Cellphone,banking app prepaid purchase cell c cellphone,40
30/11/2025,-12.0,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
30/11/2025,-7.5,TABLE,Monthly Account Admin Fee Fees (Fee),monthly account admin fee fees,31
30/11/2025,-7.5,TEXT,Monthly Account Admin Fee Fees,monthly account admin fee fees,26
30/11/2025,-0.5,TABLE,Banking App Prepaid Purchase: Cell C Cellphone (Fee),banking app prepaid purchase cell c cellphone,45
30/11/2025,-0.5,TEXT,Banking App Prepaid Purchase: Cell C Cellphone *,banking app prepaid purchase cell c cellphone,41
31/10/2025,2.69,TABLE,Interest Received,interest received,16
31/10/2025,2.69,TEXT,Interest Received Interest,interest received interest,24
31/12/2025,3.53,TABLE,Interest Received,interest received,16
31/12/2025,3.53,TEXT,Interest Received Interest,interest received interest,24
